




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2409)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
response to retinoic acid (GO:0032526)	111	29	12.98	+	2.23	4.10E-04	1.07E-02
cellular process (GO:0009987)	15495	1891	1812.45	+	1.04	4.07E-04	1.06E-02
regulation of kinase activity (GO:0043549)	914	147	106.91	+	1.37	3.86E-04	1.01E-02
tRNA processing (GO:0008033)	134	3	15.67	-	.19	3.78E-04	9.87E-03
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	5	19.30	-	.26	3.70E-04	9.69E-03
mesenchymal cell development (GO:0014031)	84	24	9.83	+	2.44	3.66E-04	9.60E-03
regulation of muscle system process (GO:0090257)	231	49	27.02	+	1.81	3.57E-04	9.38E-03
spinal cord development (GO:0021510)	100	27	11.70	+	2.31	3.57E-04	9.38E-03
smooth muscle contraction (GO:0006939)	49	17	5.73	+	2.97	3.45E-04	9.09E-03
regulation of AMPA receptor activity (GO:2000311)	26	12	3.04	+	3.95	3.39E-04	8.95E-03
axis elongation (GO:0003401)	26	12	3.04	+	3.95	3.39E-04	8.94E-03
adult locomotory behavior (GO:0008344)	74	22	8.66	+	2.54	3.37E-04	8.91E-03
cellular response to organic cyclic compound (GO:0071407)	511	91	59.77	+	1.52	3.33E-04	8.83E-03
regulation of protein secretion (GO:0050708)	283	57	33.10	+	1.72	3.31E-04	8.79E-03
macroautophagy (GO:0016236)	199	7	23.28	-	.30	3.28E-04	8.73E-03
cellular response to topologically incorrect protein (GO:0035967)	152	4	17.78	-	.22	3.24E-04	8.64E-03
telencephalon development (GO:0021537)	254	53	29.71	+	1.78	3.20E-04	8.54E-03
organic cyclic compound biosynthetic process (GO:1901362)	1196	98	139.90	-	.70	3.13E-04	8.38E-03
regulation of short-term neuronal synaptic plasticity (GO:0048172)	14	9	1.64	+	5.50	3.10E-04	8.31E-03
cell fate specification (GO:0001708)	81	24	9.47	+	2.53	2.95E-04	7.92E-03
negative regulation of cellular component movement (GO:0051271)	293	59	34.27	+	1.72	2.90E-04	7.80E-03
regulation of cardiac conduction (GO:1903779)	58	19	6.78	+	2.80	2.90E-04	7.80E-03
negative regulation of growth (GO:0045926)	249	52	29.13	+	1.79	2.87E-04	7.73E-03
long-term synaptic potentiation (GO:0060291)	48	17	5.61	+	3.03	2.84E-04	7.66E-03
organonitrogen compound biosynthetic process (GO:1901566)	1379	116	161.30	-	.72	2.82E-04	7.65E-03
hindbrain development (GO:0030902)	151	36	17.66	+	2.04	2.80E-04	7.59E-03
central nervous system neuron development (GO:0021954)	88	25	10.29	+	2.43	2.79E-04	7.58E-03
transcription, DNA-templated (GO:0006351)	530	34	61.99	-	.55	2.75E-04	7.48E-03
skin development (GO:0043588)	385	73	45.03	+	1.62	2.71E-04	7.37E-03
cotranslational protein targeting to membrane (GO:0006613)	101	1	11.81	-	.08	2.70E-04	7.36E-03
electron transport chain (GO:0022900)	170	5	19.88	-	.25	2.67E-04	7.31E-03
regulation of cellular protein catabolic process (GO:1903362)	256	11	29.94	-	.37	2.56E-04	7.01E-03
cardiac muscle cell action potential involved in contraction (GO:0086002)	38	15	4.44	+	3.37	2.51E-04	6.88E-03
protein-containing complex disassembly (GO:0032984)	228	9	26.67	-	.34	2.50E-04	6.86E-03
RNA biosynthetic process (GO:0032774)	543	35	63.51	-	.55	2.49E-04	6.86E-03
nephron tubule formation (GO:0072079)	17	10	1.99	+	5.03	2.45E-04	6.76E-03
negative regulation of cell motility (GO:2000146)	285	58	33.34	+	1.74	2.43E-04	6.73E-03
membrane depolarization (GO:0051899)	52	18	6.08	+	2.96	2.39E-04	6.62E-03
positive regulation of molecular function (GO:0044093)	1618	243	189.26	+	1.28	2.35E-04	6.53E-03
mitotic nuclear division (GO:0140014)	201	7	23.51	-	.30	2.31E-04	6.41E-03
limbic system development (GO:0021761)	109	29	12.75	+	2.27	2.28E-04	6.34E-03
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	39	19.53	+	2.00	2.26E-04	6.30E-03
positive regulation of transferase activity (GO:0051347)	693	118	81.06	+	1.46	2.25E-04	6.27E-03
positive regulation of protein kinase activity (GO:0045860)	539	96	63.05	+	1.52	2.21E-04	6.19E-03
ribonucleoprotein complex assembly (GO:0022618)	189	6	22.11	-	.27	2.19E-04	6.16E-03
regulation of cell junction assembly (GO:1901888)	202	45	23.63	+	1.90	2.19E-04	6.15E-03
nucleic acid-templated transcription (GO:0097659)	531	34	62.11	-	.55	2.18E-04	6.13E-03
positive regulation of signal transduction (GO:0009967)	1584	239	185.28	+	1.29	2.05E-04	5.78E-03
microtubule cytoskeleton organization (GO:0000226)	567	37	66.32	-	.56	2.02E-04	5.71E-03
negative regulation of axonogenesis (GO:0050771)	70	22	8.19	+	2.69	2.01E-04	5.68E-03
response to cocaine (GO:0042220)	56	19	6.55	+	2.90	2.01E-04	5.67E-03
RNA export from nucleus (GO:0006405)	124	2	14.50	-	.14	1.97E-04	5.59E-03
cranial nerve development (GO:0021545)	51	18	5.97	+	3.02	1.97E-04	5.59E-03
regulation of postsynapse organization (GO:0099175)	91	26	10.64	+	2.44	1.94E-04	5.52E-03
regulation of telomere maintenance (GO:0032204)	81	0	9.47	-	 < 0.01	1.92E-04	5.49E-03
translational initiation (GO:0006413)	143	3	16.73	-	.18	1.89E-04	5.40E-03
lymphocyte mediated immunity (GO:0002449)	259	11	30.30	-	.36	1.88E-04	5.39E-03
endocrine system development (GO:0035270)	124	32	14.50	+	2.21	1.87E-04	5.36E-03
histone modification (GO:0016570)	363	19	42.46	-	.45	1.87E-04	5.36E-03
RNA 3'-end processing (GO:0031123)	142	3	16.61	-	.18	1.85E-04	5.34E-03
cytosolic calcium ion transport (GO:0060401)	90	26	10.53	+	2.47	1.75E-04	5.06E-03
DNA conformation change (GO:0071103)	312	15	36.49	-	.41	1.71E-04	4.95E-03
negative regulation of immune system process (GO:0002683)	597	105	69.83	+	1.50	1.65E-04	4.79E-03
neuromuscular process controlling balance (GO:0050885)	50	18	5.85	+	3.08	1.61E-04	4.67E-03
epidermis development (GO:0008544)	422	80	49.36	+	1.62	1.56E-04	4.53E-03
response to topologically incorrect protein (GO:0035966)	191	6	22.34	-	.27	1.53E-04	4.46E-03
positive regulation of transporter activity (GO:0032411)	121	32	14.15	+	2.26	1.51E-04	4.39E-03
multicellular organismal response to stress (GO:0033555)	67	22	7.84	+	2.81	1.49E-04	4.35E-03
covalent chromatin modification (GO:0016569)	367	19	42.93	-	.44	1.44E-04	4.20E-03
centrosome cycle (GO:0007098)	88	0	10.29	-	 < 0.01	1.39E-04	4.10E-03
RNA methylation (GO:0001510)	88	0	10.29	-	 < 0.01	1.39E-04	4.09E-03
telencephalon cell migration (GO:0022029)	59	20	6.90	+	2.90	1.39E-04	4.08E-03
mitochondrial translational elongation (GO:0070125)	88	0	10.29	-	 < 0.01	1.39E-04	4.08E-03
regulation of insulin secretion (GO:0050796)	189	44	22.11	+	1.99	1.36E-04	4.02E-03
mitochondrial transport (GO:0006839)	235	9	27.49	-	.33	1.35E-04	4.00E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	95	61.06	+	1.56	1.35E-04	4.00E-03
sensory perception of sound (GO:0007605)	156	38	18.25	+	2.08	1.35E-04	4.00E-03
regulation of cellular catabolic process (GO:0031329)	899	67	105.16	-	.64	1.34E-04	3.99E-03
spindle organization (GO:0007051)	224	8	26.20	-	.31	1.33E-04	3.96E-03
regulation of mesenchymal cell proliferation (GO:0010464)	31	14	3.63	+	3.86	1.32E-04	3.96E-03
cardiac muscle cell action potential (GO:0086001)	49	18	5.73	+	3.14	1.31E-04	3.92E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	8	25.97	-	.31	1.29E-04	3.88E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	975	74	114.05	-	.65	1.29E-04	3.87E-03
cell division (GO:0051301)	498	30	58.25	-	.52	1.28E-04	3.84E-03
mRNA export from nucleus (GO:0006406)	110	1	12.87	-	.08	1.27E-04	3.83E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	1	12.87	-	.08	1.27E-04	3.82E-03
digestive tract development (GO:0048565)	126	33	14.74	+	2.24	1.22E-04	3.70E-03
negative regulation of secretion (GO:0051048)	165	40	19.30	+	2.07	1.22E-04	3.69E-03
regulation of cell-cell adhesion (GO:0022407)	439	83	51.35	+	1.62	1.16E-04	3.54E-03
muscle organ development (GO:0007517)	283	59	33.10	+	1.78	1.16E-04	3.54E-03
camera-type eye morphogenesis (GO:0048593)	125	33	14.62	+	2.26	1.13E-04	3.45E-03
ribonucleoprotein complex subunit organization (GO:0071826)	196	6	22.93	-	.26	1.12E-04	3.41E-03
DNA-dependent DNA replication (GO:0006261)	195	6	22.81	-	.26	1.10E-04	3.38E-03
negative regulation of cell cycle process (GO:0010948)	368	19	43.05	-	.44	1.08E-04	3.31E-03
aromatic compound biosynthetic process (GO:0019438)	1060	82	123.99	-	.66	1.08E-04	3.31E-03
negative regulation of developmental growth (GO:0048640)	106	30	12.40	+	2.42	1.00E-04	3.09E-03
negative regulation of transport (GO:0051051)	430	82	50.30	+	1.63	9.96E-05	3.08E-03
potassium ion import across plasma membrane (GO:1990573)	43	17	5.03	+	3.38	9.77E-05	3.03E-03
modulation of excitatory postsynaptic potential (GO:0098815)	43	17	5.03	+	3.38	9.77E-05	3.02E-03
forebrain cell migration (GO:0021885)	62	21	7.25	+	2.90	9.67E-05	3.00E-03
cellular response to retinoic acid (GO:0071300)	69	23	8.07	+	2.85	9.35E-05	2.91E-03
nitrogen compound transport (GO:0071705)	1708	146	199.78	-	.73	8.87E-05	2.77E-03
gliogenesis (GO:0042063)	223	50	26.08	+	1.92	8.79E-05	2.74E-03
cardiac conduction system development (GO:0003161)	38	16	4.44	+	3.60	8.64E-05	2.71E-03
tissue morphogenesis (GO:0048729)	545	99	63.75	+	1.55	8.59E-05	2.69E-03
mitochondrial translational termination (GO:0070126)	89	0	10.41	-	 < 0.01	8.39E-05	2.64E-03
response to wounding (GO:0009611)	543	99	63.51	+	1.56	8.19E-05	2.58E-03
immunoglobulin mediated immune response (GO:0016064)	201	6	23.51	-	.26	8.19E-05	2.58E-03
peptidyl-tyrosine modification (GO:0018212)	156	39	18.25	+	2.14	7.99E-05	2.53E-03
organelle assembly (GO:0070925)	796	56	93.11	-	.60	7.90E-05	2.50E-03
protein polyubiquitination (GO:0000209)	325	15	38.02	-	.39	7.47E-05	2.37E-03
nucleobase-containing compound transport (GO:0015931)	245	9	28.66	-	.31	7.38E-05	2.35E-03
positive regulation of ion transmembrane transporter activity (GO:0032414)	110	31	12.87	+	2.41	7.36E-05	2.35E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	16	39.54	-	.40	7.22E-05	2.31E-03
cellular respiration (GO:0045333)	187	5	21.87	-	.23	7.09E-05	2.27E-03
anion transport (GO:0006820)	460	87	53.81	+	1.62	7.04E-05	2.26E-03
glial cell differentiation (GO:0010001)	173	42	20.24	+	2.08	7.01E-05	2.25E-03
regulation of body fluid levels (GO:0050878)	494	92	57.78	+	1.59	6.98E-05	2.25E-03
mesenchymal cell differentiation (GO:0048762)	162	40	18.95	+	2.11	6.96E-05	2.24E-03
associative learning (GO:0008306)	79	25	9.24	+	2.71	6.49E-05	2.10E-03
membrane organization (GO:0061024)	972	72	113.69	-	.63	6.46E-05	2.09E-03
response to nitrogen compound (GO:1901698)	1101	178	128.78	+	1.38	6.33E-05	2.05E-03
positive regulation of MAPK cascade (GO:0043410)	525	97	61.41	+	1.58	6.29E-05	2.05E-03
negative regulation of response to external stimulus (GO:0032102)	559	102	65.39	+	1.56	6.03E-05	1.96E-03
mesenchyme development (GO:0060485)	224	51	26.20	+	1.95	5.98E-05	1.96E-03
enzyme linked receptor protein signaling pathway (GO:0007167)	723	126	84.57	+	1.49	5.99E-05	1.96E-03
B cell mediated immunity (GO:0019724)	205	6	23.98	-	.25	5.88E-05	1.93E-03
regulation of heart rate (GO:0002027)	99	29	11.58	+	2.50	5.83E-05	1.92E-03
viral transcription (GO:0019083)	116	1	13.57	-	.07	5.63E-05	1.85E-03
calcium ion transmembrane import into cytosol (GO:0097553)	64	22	7.49	+	2.94	5.57E-05	1.84E-03
nucleocytoplasmic transport (GO:0006913)	261	10	30.53	-	.33	5.55E-05	1.83E-03
positive regulation of synapse assembly (GO:0051965)	59	21	6.90	+	3.04	5.42E-05	1.80E-03
regulation of cell adhesion (GO:0030155)	731	127	85.51	+	1.49	5.26E-05	1.75E-03
establishment of RNA localization (GO:0051236)	191	5	22.34	-	.22	5.04E-05	1.68E-03
RNA transport (GO:0050658)	189	5	22.11	-	.23	4.88E-05	1.63E-03
nucleic acid transport (GO:0050657)	189	5	22.11	-	.23	4.88E-05	1.63E-03
regulation of cellular amide metabolic process (GO:0034248)	479	27	56.03	-	.48	4.88E-05	1.63E-03
regulation of extent of cell growth (GO:0061387)	112	32	13.10	+	2.44	4.82E-05	1.62E-03
negative regulation of locomotion (GO:0040013)	317	66	37.08	+	1.78	4.73E-05	1.59E-03
neuromuscular process (GO:0050905)	136	36	15.91	+	2.26	4.67E-05	1.57E-03
sodium ion transmembrane transport (GO:0035725)	119	33	13.92	+	2.37	4.55E-05	1.54E-03
peptidyl-tyrosine phosphorylation (GO:0018108)	153	39	17.90	+	2.18	4.53E-05	1.53E-03
positive regulation of neurogenesis (GO:0050769)	227	52	26.55	+	1.96	4.40E-05	1.49E-03
digestive tract morphogenesis (GO:0048546)	44	18	5.15	+	3.50	4.31E-05	1.46E-03
cellular homeostasis (GO:0019725)	895	151	104.69	+	1.44	4.22E-05	1.44E-03
negative regulation of amine transport (GO:0051953)	27	14	3.16	+	4.43	4.18E-05	1.43E-03
developmental maturation (GO:0021700)	235	53	27.49	+	1.93	4.13E-05	1.41E-03
nuclear transport (GO:0051169)	264	10	30.88	-	.32	4.08E-05	1.40E-03
cytoplasmic translation (GO:0002181)	122	1	14.27	-	.07	3.99E-05	1.37E-03
epithelial tube morphogenesis (GO:0060562)	309	65	36.14	+	1.80	3.92E-05	1.35E-03
positive regulation of protein phosphorylation (GO:0001934)	838	143	98.02	+	1.46	3.90E-05	1.35E-03
nucleobase-containing compound catabolic process (GO:0034655)	373	18	43.63	-	.41	3.87E-05	1.34E-03
positive regulation of developmental growth (GO:0048639)	169	42	19.77	+	2.12	3.87E-05	1.34E-03
localization (GO:0051179)	5831	780	682.05	+	1.14	3.82E-05	1.33E-03
glutamate receptor signaling pathway (GO:0007215)	48	19	5.61	+	3.38	3.83E-05	1.33E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	1	14.04	-	.07	3.80E-05	1.33E-03
embryonic organ morphogenesis (GO:0048562)	295	63	34.51	+	1.83	3.73E-05	1.30E-03
morphogenesis of a branching epithelium (GO:0061138)	160	41	18.72	+	2.19	3.71E-05	1.30E-03
translational termination (GO:0006415)	97	0	11.35	-	 < 0.01	3.69E-05	1.30E-03
cardiac muscle tissue development (GO:0048738)	168	42	19.65	+	2.14	3.57E-05	1.26E-03
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	27	10.06	+	2.68	3.53E-05	1.25E-03
chromatin organization (GO:0006325)	703	46	82.23	-	.56	3.45E-05	1.22E-03
cell communication involved in cardiac conduction (GO:0086065)	43	18	5.03	+	3.58	3.39E-05	1.20E-03
cochlea development (GO:0090102)	52	20	6.08	+	3.29	3.36E-05	1.19E-03
regulation of systemic arterial blood pressure (GO:0003073)	100	30	11.70	+	2.56	3.33E-05	1.19E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	30	11.70	+	2.56	3.33E-05	1.18E-03
heterocycle biosynthetic process (GO:0018130)	1049	78	122.70	-	.64	3.30E-05	1.18E-03
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	83	49.13	+	1.69	3.29E-05	1.18E-03
protein targeting (GO:0006605)	322	14	37.66	-	.37	3.19E-05	1.15E-03
inorganic ion import across plasma membrane (GO:0099587)	85	27	9.94	+	2.72	3.08E-05	1.12E-03
epithelial cell differentiation (GO:0030855)	686	122	80.24	+	1.52	3.09E-05	1.11E-03
inorganic cation import across plasma membrane (GO:0098659)	85	27	9.94	+	2.72	3.08E-05	1.11E-03
aromatic compound catabolic process (GO:0019439)	438	23	51.23	-	.45	2.99E-05	1.08E-03
skeletal system development (GO:0001501)	479	92	56.03	+	1.64	2.94E-05	1.07E-03
ribonucleoprotein complex export from nucleus (GO:0071426)	126	1	14.74	-	.07	2.72E-05	9.90E-04
organic cyclic compound catabolic process (GO:1901361)	466	25	54.51	-	.46	2.66E-05	9.70E-04
response to organonitrogen compound (GO:0010243)	1014	169	118.61	+	1.42	2.61E-05	9.56E-04
digestive system development (GO:0055123)	136	37	15.91	+	2.33	2.58E-05	9.45E-04
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	58	30.18	+	1.92	2.52E-05	9.27E-04
negative regulation of biological process (GO:0048519)	5501	742	643.45	+	1.15	2.49E-05	9.19E-04
memory (GO:0007613)	119	34	13.92	+	2.44	2.46E-05	9.10E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	101	0	11.81	-	 < 0.01	2.45E-05	9.08E-04
microtubule organizing center organization (GO:0031023)	100	0	11.70	-	 < 0.01	2.42E-05	8.99E-04
kidney morphogenesis (GO:0060993)	83	27	9.71	+	2.78	2.40E-05	8.92E-04
regulation of molecular function (GO:0065009)	3118	446	364.71	+	1.22	2.34E-05	8.73E-04
viral process (GO:0016032)	444	23	51.93	-	.44	2.33E-05	8.72E-04
negative regulation of cell development (GO:0010721)	180	45	21.05	+	2.14	2.33E-05	8.72E-04
second-messenger-mediated signaling (GO:0019932)	221	52	25.85	+	2.01	2.28E-05	8.57E-04
nuclear export (GO:0051168)	166	3	19.42	-	.15	2.13E-05	8.02E-04
blood vessel diameter maintenance (GO:0097746)	130	36	15.21	+	2.37	1.94E-05	7.34E-04
muscle structure development (GO:0061061)	473	92	55.33	+	1.66	1.94E-05	7.33E-04
sensory perception (GO:0007600)	979	165	114.51	+	1.44	1.93E-05	7.33E-04
regulation of tube diameter (GO:0035296)	130	36	15.21	+	2.37	1.94E-05	7.33E-04
calcium ion transport into cytosol (GO:0060402)	73	25	8.54	+	2.93	1.88E-05	7.16E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	434	22	50.77	-	.43	1.87E-05	7.14E-04
import across plasma membrane (GO:0098739)	139	38	16.26	+	2.34	1.81E-05	6.92E-04
ribonucleoprotein complex localization (GO:0071166)	127	1	14.86	-	.07	1.73E-05	6.63E-04
regulation of growth (GO:0040008)	661	120	77.32	+	1.55	1.71E-05	6.57E-04
cellular component assembly (GO:0022607)	2494	221	291.72	-	.76	1.63E-05	6.27E-04
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	24	7.84	+	3.06	1.50E-05	5.82E-04
transmission of nerve impulse (GO:0019226)	53	21	6.20	+	3.39	1.51E-05	5.82E-04
cellular nitrogen compound catabolic process (GO:0044270)	423	21	49.48	-	.42	1.49E-05	5.80E-04
regulation of neurotransmitter secretion (GO:0046928)	91	29	10.64	+	2.72	1.47E-05	5.73E-04
protein localization to organelle (GO:0033365)	742	48	86.79	-	.55	1.46E-05	5.72E-04
regulation of neurotransmitter transport (GO:0051588)	105	32	12.28	+	2.61	1.45E-05	5.66E-04
heart morphogenesis (GO:0003007)	241	56	28.19	+	1.99	1.38E-05	5.40E-04
adult behavior (GO:0030534)	133	37	15.56	+	2.38	1.36E-05	5.39E-04
response to organic substance (GO:0010033)	3008	434	351.85	+	1.23	1.36E-05	5.38E-04
neuron migration (GO:0001764)	117	34	13.69	+	2.48	1.37E-05	5.38E-04
cellular response to nitrogen compound (GO:1901699)	664	121	77.67	+	1.56	1.36E-05	5.37E-04
cellular response to organonitrogen compound (GO:0071417)	604	112	70.65	+	1.59	1.32E-05	5.27E-04
morphogenesis of a branching structure (GO:0001763)	169	44	19.77	+	2.23	1.33E-05	5.27E-04
nerve development (GO:0021675)	76	26	8.89	+	2.92	1.31E-05	5.26E-04
proteasomal protein catabolic process (GO:0010498)	361	16	42.23	-	.38	1.31E-05	5.25E-04
positive regulation of cation channel activity (GO:2001259)	76	26	8.89	+	2.92	1.31E-05	5.24E-04
cellular response to organic substance (GO:0071310)	2344	349	274.18	+	1.27	1.30E-05	5.24E-04
heterocycle catabolic process (GO:0046700)	417	20	48.78	-	.41	1.21E-05	4.87E-04
import into cell (GO:0098657)	176	45	20.59	+	2.19	1.20E-05	4.86E-04
retina development in camera-type eye (GO:0060041)	148	40	17.31	+	2.31	1.16E-05	4.70E-04
retina morphogenesis in camera-type eye (GO:0060042)	61	23	7.14	+	3.22	1.15E-05	4.69E-04
regulation of tube size (GO:0035150)	131	37	15.32	+	2.41	1.09E-05	4.45E-04
negative regulation of neuron differentiation (GO:0045665)	70	25	8.19	+	3.05	1.05E-05	4.28E-04
viral gene expression (GO:0019080)	172	3	20.12	-	.15	1.00E-05	4.10E-04
nuclear division (GO:0000280)	339	14	39.65	-	.35	9.85E-06	4.05E-04
tRNA metabolic process (GO:0006399)	190	4	22.22	-	.18	9.57E-06	3.94E-04
protein transport (GO:0015031)	1300	99	152.06	-	.65	9.54E-06	3.94E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	11	35.21	-	.31	9.34E-06	3.86E-04
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	25	8.07	+	3.10	8.57E-06	3.56E-04
regulation of cell migration (GO:0030334)	892	155	104.34	+	1.49	8.24E-06	3.43E-04
excitatory postsynaptic potential (GO:0060079)	64	24	7.49	+	3.21	8.08E-06	3.37E-04
negative regulation of neurogenesis (GO:0050768)	143	40	16.73	+	2.39	7.78E-06	3.25E-04
heart development (GO:0007507)	535	103	62.58	+	1.65	7.50E-06	3.14E-04
mitochondrial translation (GO:0032543)	112	0	13.10	-	 < 0.01	7.07E-06	2.97E-04
chemical synaptic transmission, postsynaptic (GO:0099565)	68	25	7.95	+	3.14	6.98E-06	2.96E-04
establishment of protein localization (GO:0045184)	1397	108	163.41	-	.66	6.99E-06	2.95E-04
sodium ion transport (GO:0006814)	176	46	20.59	+	2.23	6.99E-06	2.95E-04
mRNA transport (GO:0051028)	160	2	18.72	-	.11	6.89E-06	2.94E-04
vasculature development (GO:0001944)	514	100	60.12	+	1.66	6.90E-06	2.93E-04
positive regulation of cell population proliferation (GO:0008284)	939	162	109.83	+	1.47	6.72E-06	2.87E-04
positive regulation of kinase activity (GO:0033674)	614	115	71.82	+	1.60	6.68E-06	2.86E-04
eye development (GO:0001654)	364	77	42.58	+	1.81	6.52E-06	2.80E-04
branching morphogenesis of an epithelial tube (GO:0048754)	132	38	15.44	+	2.46	6.25E-06	2.70E-04
regulation of peptide hormone secretion (GO:0090276)	222	54	25.97	+	2.08	6.26E-06	2.70E-04
intracellular protein transport (GO:0006886)	781	50	91.35	-	.55	6.19E-06	2.68E-04
blood vessel development (GO:0001568)	492	97	57.55	+	1.69	6.06E-06	2.64E-04
RNA localization (GO:0006403)	212	5	24.80	-	.20	6.07E-06	2.64E-04
regulation of calcium ion transport (GO:0051924)	252	59	29.48	+	2.00	5.98E-06	2.61E-04
inner ear morphogenesis (GO:0042472)	101	32	11.81	+	2.71	5.66E-06	2.48E-04
regulation of metal ion transport (GO:0010959)	262	61	30.65	+	1.99	5.53E-06	2.43E-04
adaptive immune response (GO:0002250)	658	39	76.97	-	.51	5.45E-06	2.40E-04
mesonephric tubule development (GO:0072164)	81	28	9.47	+	2.96	5.27E-06	2.34E-04
mesonephric epithelium development (GO:0072163)	81	28	9.47	+	2.96	5.27E-06	2.33E-04
visual system development (GO:0150063)	368	78	43.05	+	1.81	5.15E-06	2.29E-04
camera-type eye development (GO:0043010)	317	70	37.08	+	1.89	5.02E-06	2.23E-04
protein-DNA complex subunit organization (GO:0071824)	296	10	34.62	-	.29	4.74E-06	2.12E-04
embryonic organ development (GO:0048568)	435	89	50.88	+	1.75	4.59E-06	2.06E-04
ear morphogenesis (GO:0042471)	120	36	14.04	+	2.56	4.54E-06	2.04E-04
response to organic cyclic compound (GO:0014070)	900	158	105.27	+	1.50	4.37E-06	1.97E-04
ureteric bud development (GO:0001657)	80	28	9.36	+	2.99	4.35E-06	1.96E-04
positive regulation of phosphorylation (GO:0042327)	921	161	107.73	+	1.49	4.33E-06	1.96E-04
cellular response to endogenous stimulus (GO:0071495)	1152	193	134.75	+	1.43	4.25E-06	1.93E-04
establishment of protein localization to organelle (GO:0072594)	394	17	46.09	-	.37	4.23E-06	1.93E-04
sensory perception of pain (GO:0019233)	75	27	8.77	+	3.08	4.19E-06	1.91E-04
mesonephric tubule morphogenesis (GO:0072171)	52	22	6.08	+	3.62	4.12E-06	1.89E-04
positive regulation of secretion by cell (GO:1903532)	288	66	33.69	+	1.96	4.11E-06	1.89E-04
signal release (GO:0023061)	157	43	18.36	+	2.34	4.06E-06	1.87E-04
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	39	15.67	+	2.49	3.98E-06	1.84E-04
regulation of cell cycle phase transition (GO:1901987)	522	27	61.06	-	.44	3.83E-06	1.78E-04
action potential (GO:0001508)	92	31	10.76	+	2.88	3.80E-06	1.77E-04
regulation of cell cycle (GO:0051726)	1164	84	136.15	-	.62	3.72E-06	1.74E-04
muscle contraction (GO:0006936)	241	58	28.19	+	2.06	3.69E-06	1.73E-04
branching involved in ureteric bud morphogenesis (GO:0001658)	43	20	5.03	+	3.98	3.66E-06	1.72E-04
vascular process in circulatory system (GO:0003018)	251	60	29.36	+	2.04	3.56E-06	1.67E-04
angiogenesis (GO:0001525)	318	71	37.20	+	1.91	3.40E-06	1.61E-04
ureteric bud morphogenesis (GO:0060675)	51	22	5.97	+	3.69	3.21E-06	1.52E-04
feeding behavior (GO:0007631)	83	29	9.71	+	2.99	3.04E-06	1.44E-04
regulation of peptide secretion (GO:0002791)	226	56	26.44	+	2.12	2.93E-06	1.40E-04
sensory perception of mechanical stimulus (GO:0050954)	177	47	20.70	+	2.27	2.94E-06	1.40E-04
sensory system development (GO:0048880)	374	80	43.75	+	1.83	2.90E-06	1.39E-04
urogenital system development (GO:0001655)	324	72	37.90	+	1.90	2.91E-06	1.39E-04
regulation of response to stimulus (GO:0048583)	4306	605	503.67	+	1.20	2.85E-06	1.38E-04
negative chemotaxis (GO:0050919)	46	21	5.38	+	3.90	2.65E-06	1.28E-04
neural retina development (GO:0003407)	68	26	7.95	+	3.27	2.59E-06	1.25E-04
positive regulation of biological process (GO:0048518)	6331	855	740.54	+	1.15	2.38E-06	1.16E-04
regulation of translation (GO:0006417)	415	18	48.54	-	.37	2.33E-06	1.14E-04
protein-DNA complex assembly (GO:0065004)	256	7	29.94	-	.23	2.27E-06	1.11E-04
regulation of chromosome organization (GO:0033044)	290	9	33.92	-	.27	2.24E-06	1.10E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	66	33.10	+	1.99	2.23E-06	1.10E-04
RNA modification (GO:0009451)	172	2	20.12	-	.10	2.25E-06	1.10E-04
kidney development (GO:0001822)	282	66	32.99	+	2.00	2.15E-06	1.07E-04
